uid,company,url,color,industry,location,,,,
286,subway,Subway-logo-FE7952F639-seeklogo.com.gif,white,fast food,global,,,,
287,subway,Subway-logo-FE7952F639-seeklogo.com.gif,white,fast food,global,,,,
288,subway,Subway-logo-FE7952F639-seeklogo.com.gif,yellow,fast food,global,,,,
289,suez,logo-suez.gif,blue,,,,,,
290,superman,Superman-logo-7D65D4C00C-seeklogo.com.gif,red,entertainment,global,,,,
291,superman,Superman-logo-7D65D4C00C-seeklogo.com.gif,yellow,entertainment,global,,,,
292,suzuki,Suzuki-logo-5311518DD9-seeklogo.com.gif,blue,automotive,global,,,,
293,suzuki,Suzuki-logo-5311518DD9-seeklogo.com.gif,red,automotive,global,,,,
294,target,logo-target.gif,red,retail,na,,,,
295,telefonica,logo-telefonica.gif,blue,telecommunications,,,,,
296,telefonica,logo-telefonica.gif,green,telecommunications,,,,,
297,tesco,logo-tesco.gif,blue,energy,global,,,,
298,tesco-red,logo-tesco.gif,red,energy,global,,,,
299,thyssen krupp,logo-thyssenkrupp.gif,black,,,,,,
300,thyssen krupp,logo-thyssenkrupp.gif,blue,,,,,,
301,tim,TIM-logo-6E07AC43B8-seeklogo.com.gif,blue,telecommunications,,,,,
302,tim,TIM-logo-6E07AC43B8-seeklogo.com.gif,red,telecommunications,,,,,
303,tim,TIM-logo-6E07AC43B8-seeklogo.com.gif,white,telecommunications,,,,,
304,toshiba,logo-toshiba.gif,red,electronics,global,,,,
305,total,logo-total.gif,blue,,,,,,
306,total,logo-total.gif,blue,,,,,,
307,total,logo-total.gif,red,,,,,,
308,total,logo-total.gif,yellow,,,,,,
309,toyota,logo-toyota.gif,gray,automotive,global,,,,
310,toyota,logo-toyota.gif,red,automotive,global,,,,
311,twitter,twitter-logo-A87F167CF4-seeklogo.com.gif,blue,social media,global,,,,
312,ubs,logo-ubs.gif,black,financial,global,,,,
313,ubs,logo-ubs.gif,red,financial,global,,,,
314,uncredit group,logo-unicredit-group.gif,red,financial,,,,,
315,under armour,Under_Armour-logo-C7275A1BD7-seeklogo.com.gif,black,activewear,global,,,,
316,unicef,UNICEF-logo-BC1D59CDC0-seeklogo.com.gif,blue,ngo,global,,,,
317,uncredit group,logo-unicredit-group.gif,black,financial,,,,,
318,united health group,logo-unitedhealth-group.gif,blue,healthcare,na,,,,
319,united health group,logo-unitedhealth-group.gif,yellow,healthcare,na,,,,
320,usps,logo-us-postal-service.gif,blue,logistics,na,,,,
321,usps,logo-us-postal-service.gif,gray,logistics,na,,,,
322,vaio,Vaio-logo-AF757C017D-seeklogo.com.gif,black,electronics,global,,,,
323,vaio,Vaio-logo-AF757C017D-seeklogo.com.gif,black,technology,global,,,,
324,valero,logo-valero-energy.gif,gray,automotive,,,,,
325,valero,logo-valero-energy.gif,green,automotive,,,,,
326,vans,Vans-logo-58DBFD3A82-seeklogo.com.gif,red,activewear,global,,,,
327,vans,Vans-logo-58DBFD3A82-seeklogo.com.gif,white,activewear,global,,,,
328,verizon,logo-verizon.gif,black,telecommunications,na,,,,
329,verizon,logo-verizon.gif,red,telecommunications,na,,,,
330,versace,Versace_Medusa-logo-ADB50F52FE-seeklogo.com.gif,black,fashion,global,,,,
331,louis vitton,Louis_Vuitton-logo-FF97E85825-seeklogo.com.gif,black,fashion,global,,,,
332,louis vitton,Louis_Vuitton-logo-FF97E85825-seeklogo.com.gif,black,fashion,global,,,,
333,vodafone,logo-vodafone.gif,red,telecommunications,eu,,,,
334,volvo,volvo-logo-C0F7715FCB-seeklogo.com.gif,blue,automotive,global,,,,
335,volvo,volvo-logo-C0F7715FCB-seeklogo.com.gif,gray,automotive,global,,,,
336,volvo,volvo-logo-C0F7715FCB-seeklogo.com.gif,white,automotive,global,,,,
337,vw,VW-logo-DE231313D6-seeklogo.com.gif,blue,automotive,global,,,,
338,vw,VW-logo-DE231313D6-seeklogo.com.gif,blue,automotive,global,,,,
339,vw,VW-logo-DE231313D6-seeklogo.com.gif,gray,automotive,global,,,,
340,vw,VW-logo-DE231313D6-seeklogo.com.gif,white,automotive,global,,,,
341,wallmart,logo-walmart.gif,yellow,retail,global,,,,
342,walmart,logo-walmart.gif,blue,retail,global,,,,
343,xbox,XBOX_360-logo-A01BF7A884-seeklogo.com.gif,gray,gaming,global,,,,
344,xbox,XBOX_360-logo-A01BF7A884-seeklogo.com.gif,green,gaming,global,,,,
345,yamaha,Yamaha-logo-A1BAD08804-seeklogo.com.gif,black,automotive,global,,,,
346,nike,Nike-logo-0FBAF72D4F-seeklogo.com.gif,,,,,,,
347,visa,VISA-logo-F3440F512B-seeklogo.com.gif,,,,,,,
